base_sample_id	sample_group	projection_role
Unknown_58	Unknown	exclude_from_primary_projection
Unknown_59	Unknown	exclude_from_primary_projection
Unknown_60	Unknown	exclude_from_primary_projection
Unknown_61	Unknown	exclude_from_primary_projection
Unknown_62	Unknown	exclude_from_primary_projection
Unknown_63	Unknown	exclude_from_primary_projection
Unknown_64	Unknown	exclude_from_primary_projection
Unknown_65	Unknown	exclude_from_primary_projection
Unknown_66	Unknown	exclude_from_primary_projection
Unknown_67	Unknown	exclude_from_primary_projection
Unknown_68	Unknown	exclude_from_primary_projection
Unknown_69	Unknown	exclude_from_primary_projection
Unknown_70	Unknown	exclude_from_primary_projection
Unknown_71	Unknown	exclude_from_primary_projection
Unknown_72	Unknown	exclude_from_primary_projection
Unknown_73	Unknown	exclude_from_primary_projection
Unknown_74	Unknown	exclude_from_primary_projection
Unknown_75	Unknown	exclude_from_primary_projection
Unknown_76	Unknown	exclude_from_primary_projection
Unknown_77	Unknown	exclude_from_primary_projection
Unknown_78	Unknown	exclude_from_primary_projection
Unknown_79	Unknown	exclude_from_primary_projection
Unknown_80	Unknown	exclude_from_primary_projection
Unknown_81	Unknown	exclude_from_primary_projection
Unknown_82	Unknown	exclude_from_primary_projection
Unknown_83	Unknown	exclude_from_primary_projection
Unknown_84	Unknown	exclude_from_primary_projection
Unknown_85	Unknown	exclude_from_primary_projection
Unknown_86	Unknown	exclude_from_primary_projection
Unknown_87	Unknown	exclude_from_primary_projection
Unknown_88	Unknown	exclude_from_primary_projection
Unknown_89	Unknown	exclude_from_primary_projection
Unknown_90	Unknown	exclude_from_primary_projection
Unknown_91	Unknown	exclude_from_primary_projection
Unknown_92	Unknown	exclude_from_primary_projection
Unknown_93	Unknown	exclude_from_primary_projection
Unknown_94	Unknown	exclude_from_primary_projection
Unknown_95	Unknown	exclude_from_primary_projection
Unknown_96	Unknown	exclude_from_primary_projection
